h|H|PRIVATE\AHEAD||1|0|Header
9z|SYS|PRIVATE\AHEAD||0|0|Header
nn|CLAMPPIECE|PRIVATE\AHEAD||0|0|
nn|SYNCTABLE|PRIVATE\AHEAD||0|0|
nn|LOADPIECE|PRIVATE\AHEAD||0|0|
nn|REFPIECE|PRIVATE\AHEAD||0|0|
nn|SWAPPIECE|PRIVATE\AHEAD||0|0|
nn|UNLOADPIECE|PRIVATE\AHEAD||0|0|
p|O|PRIVATE\DSPECIAL||1|0|Spostamento origine pannello in battuta
0p|PL|PRIVATE\DSPECIAL||1|0|Piano inclinato
2z|ROT|PRIVATE\DSPECIAL||1|0|Rotazione del profilo
t|TA|PRIVATE\DSPECIAL||1|0|Tastatura pannello
1o|XO|PRIVATE\DSPECIAL||0|0|Cambio origine
1k|XPL|PRIVATE\DSPECIAL||0|0|Piano inclinato
1d|XS|PRIVATE\DSPECIAL||0|0|Chiamata di sottoprogramma
1t|XTA|PRIVATE\DSPECIAL||0|0|Tastatura pannello
1z|MSG|PRIVATE\DSPECIAL||1|0|Input Messaggio
9c|XMSG|PRIVATE\DSPECIAL||0|0|Stampa Messaggio
3a|XDUOMAT|PRIVATE\DSPECIAL||0|0|DUOMATIC
9y|XT|PRIVATE\DSPECIAL||0|0|Definizione numero utensile
b|B|PRIVATE\EBORING||1|0|Foratura
2b|BO|PRIVATE\EBORING||1|0|Foratura ottimizzata
r|BR|PRIVATE\EBORING||1|0|Foratura inclinata
1b|XB|PRIVATE\EBORING||2|0|Foratura
2f|XBO|PRIVATE\EBORING||2|0|Foratura ottimizzata
2r|XBR|PRIVATE\EBORING||0|0|Foratura inclinata
g|G0|PRIVATE\FMILLING||1|0|Inizio fresatura
l|G1|PRIVATE\FMILLING||1|0|Fresatura lineare
o|G2|PRIVATE\FMILLING||1|0|Fresatura circolare oraria
a|G3|PRIVATE\FMILLING||1|0|Fresatura circolare antioraria
0t|G5|PRIVATE\FMILLING||1|0|tratto tangente al precedente
