h|H|PRIVATE\AHEAD||1|0|Header
9z|SYS|PRIVATE\AHEAD||0|0|Header
nn|CLAMPPIECE|PRIVATE\AHEAD||0|0|
nn|SYNCTABLE|PRIVATE\AHEAD||0|0|
nn|LOADPIECE|PRIVATE\AHEAD||0|0|
nn|REFPIECE|PRIVATE\AHEAD||0|0|
nn|SWAPPIECE|PRIVATE\AHEAD||0|0|
nn|UNLOADPIECE|PRIVATE\AHEAD||0|0|
p|O|PRIVATE\DSPECIAL||1|0|Desplazamiento origen panel en tope
0p|PL|PRIVATE\DSPECIAL||1|0|Plano inclinado
2z|ROT|PRIVATE\DSPECIAL||1|0|Rotación del perfil
t|TA|PRIVATE\DSPECIAL||1|0|Palpado panel
1o|XO|PRIVATE\DSPECIAL||0|0|Cambio origen
1k|XPL|PRIVATE\DSPECIAL||0|0|Plano inclinado
1d|XS|PRIVATE\DSPECIAL||0|0|Llamada de subprograma
1t|XTA|PRIVATE\DSPECIAL||0|0|Palpado panel
1z|MSG|PRIVATE\DSPECIAL||1|0|Input Mensaje
9c|XMSG|PRIVATE\DSPECIAL||0|0|Imprimir Mensaje
3a|XDUOMAT|PRIVATE\DSPECIAL||0|0|DUOMATIC
9y|XT|PRIVATE\DSPECIAL||0|0|Definición número herramienta
b|B|PRIVATE\EBORING||1|0|Taladrado
2b|BO|PRIVATE\EBORING||1|0|Perforación optimizada
r|BR|PRIVATE\EBORING||1|0|Perforación inclinada
1b|XB|PRIVATE\EBORING||2|0|Taladrado
2f|XBO|PRIVATE\EBORING||2|0|Perforación optimizada
2r|XBR|PRIVATE\EBORING||0|0|Perforación inclinada
g|G0|PRIVATE\FMILLING||1|0|Inicio fresado
l|G1|PRIVATE\FMILLING||1|0|Fresado lineal
o|G2|PRIVATE\FMILLING||1|0|Fresado circular horario
a|G3|PRIVATE\FMILLING||1|0|Fresado circular antihorario
0t|G5|PRIVATE\FMILLING||1|0|tramo tangente al precedente
0a|ATP|PRIVATE\FMILLING||1|0|Arco tangente al trecho precedente
